,index,imagen,clase
0,0,anger\google_003.jpg,anger
1,1,anger\google_005.jpg,anger
2,2,anger\google_006.jpg,anger
3,3,anger\google_011.jpg,anger
4,4,anger\google_020.jpg,anger
5,5,anger\google_027.jpg,anger
6,6,anger\google_050.jpg,anger
7,7,anger\google_263.jpg,anger
8,8,anger\google_2D274906070737-today-160409-angry-face-7pm_today-inline-med.jpg,anger
9,9,anger\google_341.jpg,anger
10,10,anger\google_366.jpg,anger
11,11,anger\google_507.jpg,anger
12,12,anger\google_anger-how-3.jpg,anger
13,13,anger\google_anger-management.jpg,anger
14,14,anger\google_anger_300-ff1ed3d52460549ef371857a6f5ea872c5922bbb-s6-c30.jpg,anger
15,15,anger\google_angry-dude.jpg,anger
16,16,disgust\google_004.jpg,disgust
17,17,disgust\google_005.jpg,disgust
18,18,disgust\google_014.jpg,disgust
19,19,disgust\google_017.jpg,disgust
20,20,disgust\google_041.jpg,disgust
21,21,disgust\google_048.jpg,disgust
22,22,disgust\google_049.jpg,disgust
23,23,disgust\google_054.jpg,disgust
24,24,disgust\google_074.jpg,disgust
25,25,disgust\google_075.jpg,disgust
26,26,disgust\google_079.jpg,disgust
27,27,disgust\google_091.jpg,disgust
28,28,disgust\google_097.jpg,disgust
29,29,disgust\google_103.jpg,disgust
30,30,disgust\google_109.jpg,disgust
31,31,disgust\google_111.jpg,disgust
32,32,disgust\google_131.jpg,disgust
33,33,disgust\google_141.jpg,disgust
34,34,disgust\google_149.jpg,disgust
35,35,disgust\google_153.jpg,disgust
36,36,disgust\google_155.jpg,disgust
37,37,disgust\google_169.jpg,disgust
38,38,disgust\google_182.jpg,disgust
39,39,disgust\google_199.jpg,disgust
40,40,disgust\google_214.jpg,disgust
41,41,disgust\google_236.jpg,disgust
42,42,disgust\google_284.jpg,disgust
43,43,disgust\google_292.jpg,disgust
44,44,disgust\google_298.jpg,disgust
45,45,disgust\google_299.jpg,disgust
46,46,disgust\google_301.jpg,disgust
47,47,disgust\google_303.jpg,disgust
48,48,disgust\google_308.jpg,disgust
49,49,disgust\google_309.jpg,disgust
50,50,disgust\google_317.jpg,disgust
51,51,disgust\google_329.jpg,disgust
52,52,disgust\google_331.jpg,disgust
53,53,disgust\google_336.jpg,disgust
54,54,disgust\google_349.jpg,disgust
55,55,disgust\google_389.jpg,disgust
56,56,disgust\google_396.jpg,disgust
57,57,disgust\google_439.jpg,disgust
58,58,disgust\google_442.jpg,disgust
59,59,disgust\google_445.jpg,disgust
60,60,fear\google_003.jpg,fear
61,61,fear\google_006.jpg,fear
62,62,fear\google_042.jpg,fear
63,63,fear\google_050.jpg,fear
64,64,fear\google_060.jpg,fear
65,65,fear\google_127.jpg,fear
66,66,fear\google_132.jpg,fear
67,67,fear\google_271.jpg,fear
68,68,fear\google_prefix-013.jpg,fear
69,69,fear\google_prefix-055.jpg,fear
70,70,fear\google_prefix-108.jpg,fear
71,71,fear\google_prefix-111.jpg,fear
72,72,happy\google_004.jpg,happy
73,73,happy\google_006.jpg,happy
74,74,happy\google_007.jpg,happy
75,75,happy\google_008.jpg,happy
76,76,happy\google_010.jpg,happy
77,77,happy\google_013.jpg,happy
78,78,happy\google_015.jpg,happy
79,79,happy\google_016.jpg,happy
80,80,happy\google_017.jpg,happy
81,81,happy\google_020.jpg,happy
82,82,happy\google_033.jpg,happy
83,83,happy\google_035.jpg,happy
84,84,happy\google_036.jpg,happy
85,85,happy\google_042.jpg,happy
86,86,happy\google_043.jpg,happy
87,87,happy\google_053.jpg,happy
88,88,happy\google_054.jpg,happy
89,89,happy\google_055.jpg,happy
90,90,happy\google_069.jpg,happy
91,91,happy\google_080.jpg,happy
92,92,happy\google_085.jpg,happy
93,93,happy\google_096.jpg,happy
94,94,happy\google_099.jpg,happy
95,95,happy\google_104.jpg,happy
96,96,happy\google_105.jpg,happy
97,97,happy\google_118.jpg,happy
98,98,happy\google_119.jpg,happy
99,99,happy\google_129.jpg,happy
100,100,happy\google_146.jpg,happy
101,101,happy\google_150.jpg,happy
102,102,happy\google_160.jpg,happy
103,103,happy\google_168.jpg,happy
104,104,happy\google_174.jpg,happy
105,105,happy\google_193.jpg,happy
106,106,happy\google_202.jpg,happy
107,107,happy\google_207.jpg,happy
108,108,happy\google_288.jpg,happy
109,109,happy\google_307.jpg,happy
110,110,happy\google_326.jpg,happy
111,111,neutral\google_004.jpg,neutral
112,112,neutral\google_021.jpg,neutral
113,113,neutral\google_022.jpg,neutral
114,114,neutral\google_060.jpg,neutral
115,115,neutral\google_072.jpg,neutral
116,116,neutral\google_077.jpg,neutral
117,117,neutral\google_086.jpg,neutral
118,118,neutral\google_089.jpg,neutral
119,119,neutral\google_155.jpg,neutral
